t,intr_x,intr_y,intr_z,def0_x,def0_y,def0_z,def1_x,def1_y,def1_z,event
0.0,-5.299999713897705,0.0,-12.30865478515625,0.0,-5.0,-2.64821720123291,0.0,5.0,-2.62564754486084,
0.1,-5.298104286193848,-1.3207406088927565e-12,-12.285890579223633,-0.0019301484571769834,-4.998772144317627,-2.649204730987549,-0.0023632810916751623,4.99953031539917,-2.6270623207092285,
0.2,-25.888790130615234,-1.6678269876280183e-11,-21.911163330078125,-0.02309463918209076,-4.985881805419922,-2.684387683868408,-0.02707519382238388,4.994819641113281,-2.6627519130706787,
0.30000000000000004,-25.86837387084961,-6.19029688619932e-11,-21.754491806030273,-0.08794169127941132,-4.948446750640869,-2.7535784244537354,-0.10252319276332855,4.980653762817383,-2.7359063625335693,
0.4,-46.43914794921875,-1.2994694209567115e-10,-31.249860763549805,-0.17542718350887299,-4.90861177444458,-2.8118669986724854,-0.21894347667694092,4.959282398223877,-2.805664539337158,
0.5,-46.40430450439453,-2.100495333223762e-10,-31.009601593017578,-0.3005436956882477,-4.865086078643799,-2.868367910385132,-0.3346661329269409,4.938502311706543,-2.8507890701293945,
0.6000000000000001,-66.96109771728516,-3.0637831160973406e-10,-40.436119079589844,-0.45622000098228455,-4.823410987854004,-2.9150543212890625,-0.5256195068359375,4.906167984008789,-2.898587465286255,
0.7000000000000001,-77.19795227050781,-4.4753753480897274e-10,-44.8953857421875,-0.6592554450035095,-4.781459331512451,-2.954219341278076,-0.7082915902137756,4.877615928649902,-2.927271604537964,
0.8,-77.12447357177734,-6.222527493271457e-10,-44.46375274658203,-0.8910539746284485,-4.7444329261779785,-2.9821507930755615,-0.94605952501297,4.843785285949707,-2.9510607719421387,
0.9,-87.3387680053711,-8.251939687120569e-10,-48.84488296508789,-1.1289414167404175,-4.714486598968506,-3.0001749992370605,-1.1885894536972046,4.812775135040283,-2.9661784172058105,
1.0,-97.5514907836914,-9.873095674350907e-10,-53.24443054199219,-1.3654052019119263,-4.690406322479248,-3.011688709259033,-1.4286620616912842,4.784956932067871,-2.9757165908813477,
1.1,-118.04255676269531,-1.1168187485921521e-09,-62.41304397583008,-1.636242389678955,-4.667905807495117,-3.020047426223755,-1.7379674911499023,4.752598285675049,-2.9832231998443604,
1.2000000000000002,-117.91317749023438,-1.1747522954408396e-09,-61.815555572509766,-1.9569032192230225,-4.646452903747559,-3.0258708000183105,-2.0264012813568115,4.725428104400635,-2.9872703552246094,
1.3,-128.08139038085938,-1.1801111199361003e-09,-66.09477233886719,-2.2312140464782715,-4.63148307800293,-3.028687000274658,-2.302716016769409,4.701789855957031,-2.989500045776367,
1.4000000000000001,-138.2571563720703,-1.1474048378090629e-09,-70.43472290039062,-2.513622522354126,-4.618581771850586,-3.030273914337158,-2.5867881774902344,4.679594039916992,-2.9906952381134033,
1.5,-148.38975524902344,-1.0423166774131687e-09,-74.62942504882812,-2.8345587253570557,-4.606350898742676,-3.0310516357421875,-2.909235715866089,4.656622886657715,-2.991199254989624,
1.6,-168.81265258789062,-9.498004605035248e-10,-83.6791000366211,-3.1464052200317383,-4.596433639526367,-3.0311503410339355,-3.222249746322632,4.636293411254883,-2.991143226623535,
1.7000000000000002,-168.64120483398438,-9.245080256903293e-10,-83.07826232910156,-3.471813201904297,-4.587733268737793,-3.030831813812256,-3.5486302375793457,4.616898059844971,-2.990741491317749,
1.8,-178.7639923095703,-9.49791134630118e-10,-87.3385238647461,-3.793635129928589,-4.580465793609619,-3.0302703380584717,-3.8712217807769775,4.599339962005615,-2.990143299102783,
1.9000000000000001,-188.8471221923828,-1.0308051079377378e-09,-91.50325012207031,-4.144403457641602,-4.573766231536865,-3.0295000076293945,-4.222657203674316,4.5818095207214355,-2.989358425140381,
2.0,-198.91680908203125,-1.1019154477764914e-09,-95.66102600097656,-4.490312576293945,-4.568173885345459,-3.0286591053009033,-4.569083213806152,4.565949440002441,-2.9885191917419434,
2.1,-219.27972412109375,-1.2078253952552132e-09,-104.68464660644531,-4.822012424468994,-4.563576698303223,-3.027825355529785,-4.943910121917725,4.550169467926025,-2.987588405609131,
2.2,-229.32290649414062,-1.3553341782213124e-09,-108.83203125,-5.181643962860107,-4.55928897857666,-3.0269243717193604,-5.261143207550049,4.537803649902344,-2.986809730529785,
2.3000000000000003,-229.08865356445312,-1.5091864424832124e-09,-108.21379852294922,-5.517460346221924,-4.555823802947998,-3.026103973388672,-5.597203731536865,4.525599956512451,-2.986008882522583,
2.4000000000000004,-239.08700561523438,-1.6917844902764045e-09,-112.29928588867188,-5.889454364776611,-4.552490234375,-3.02523136138916,-5.969406604766846,4.513049125671387,-2.985156774520874,
2.5,-259.4465026855469,-1.7702828092325262e-09,-121.41938018798828,-6.219454288482666,-4.549898624420166,-3.0244927406311035,-6.334361553192139,4.501615524291992,-2.9843602180480957,
2.6,-269.4580383300781,-1.8075975161124802e-09,-125.59202575683594,-6.5678887367248535,-4.547473430633545,-3.023751735687256,-6.700464248657227,4.490902423858643,-2.98360276222229,
2.7,-269.14208984375,-1.854455922156717e-09,-124.87179565429688,-6.960964202880859,-4.545058250427246,-3.022963285446167,-7.0412726402282715,4.481546401977539,-2.982936382293701,
2.8000000000000003,-289.39837646484375,-1.9106607407337606e-09,-133.81900024414062,-7.311160564422607,-4.543147087097168,-3.0223002433776855,-7.391530513763428,4.4724955558776855,-2.982285737991333,
2.9000000000000004,-289.0780334472656,-1.954272743631691e-09,-133.13150024414062,-7.679535388946533,-4.5413384437561035,-3.0216405391693115,-7.759949207305908,4.46351957321167,-2.9816386699676514,
